id,label,building,level,z,height,kind,center,entry,polygon,reference,evidence,model_status,qa_cameras,qa_status,notes
MAIN_L3_LINK,North Upper Walk and Spiral Landing,MAIN,L3,5.26415,2.04,loggia,"[6.7072, 23.470200000000002, 5.26415]","[5.4496, 23.470200000000002, 5.26415]","[[5.4496, 24.2136], [6.969200000000001, 24.2136], [7.86, 24.0543], [8.757659845760633, 24.442747174582305], [8.026868347558615, 22.854624039357986], [6.969200000000001, 22.833000000000002], [5.4496, 22.833000000000002]]",HABS PA-5346 sheet 06,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L3_LINK_A"", ""CAM_MAIN_L3_LINK_B""]",NOT_ACCEPTED,Only the true north upper walk/spiral landing is walkable atL3. The long southward projection in sheet06 is NOT an upper floor; the stepped canopy is separately tagged non-walkable roof. Access climbs south-low to north-high on the exterior curve.
MAIN_L3_STAIR,Gallery Stair L3,MAIN,L3,5.26415,2.04,stair,"[3.7204, 13.806000000000001, 5.26415]","[5.5544, 13.168800000000001, 5.26415]","[[2.096, 14.283900000000001], [5.502000000000001, 14.283900000000001], [5.502000000000001, 13.2219], [2.096, 13.2219]]",HABS PA-5346 sheet 06,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L3_STAIR_A"", ""CAM_MAIN_L3_STAIR_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
GUEST_L1_THEATER,Theater (2010 surveyed use),GUEST,L1,8.4,2.16,theater,"[0.4566399999999997, 48.6984, 9.950000000000001]","[-0.9099200000000001, 45.85152, 8.44]","[[-3.22256, 52.599680000000006], [0.6668799999999999, 54.866640000000004], [3.08464, 50.75448], [3.08464, 46.64232], [0.4566399999999997, 45.21888], [-0.33176000000000005, 46.27328], [-1.8034400000000006, 45.37704], [-3.2751200000000007, 47.644000000000005], [-2.22392, 48.22392], [-3.748160000000001, 50.33272]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L1_THEATER_A"", ""CAM_GUEST_L1_THEATER_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L1_CAR_COURT,Car Court,GUEST,L1,8.4,2.16,exterior,"[-0.8048000000000006, 42.53016, 9.950000000000001]","[-4.010960000000001, 43.00464, 8.44]","[[-4.53656, 44.05904], [-1.75088, 45.2716], [-0.33176000000000005, 46.220560000000006], [1.4027199999999997, 42.47744], [3.45256, 42.161120000000004], [3.4, 41.054], [-2.8020800000000006, 41.054], [-4.43144, 40.10504]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L1_CAR_COURT_A"", ""CAM_GUEST_L1_CAR_COURT_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L1_CHAUFFEUR_LOUNGE,Chauffeur's Lounge,GUEST,L1,8.4,2.16,lounge,"[-1.0676, 38.787040000000005, 9.950000000000001]","[1.1924799999999998, 40.381820000000005, 8.44]","[[-3.38024, 40.05232], [-2.8020800000000006, 40.63224], [1.1399199999999996, 40.63224], [1.1399199999999996, 37.41632], [-3.38024, 37.41632]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L1_CHAUFFEUR_LOUNGE_A"", ""CAM_GUEST_L1_CHAUFFEUR_LOUNGE_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L1_BOILER,Boiler Room,GUEST,L1,8.4,2.16,utility,"[4.827159999999999, 41.84978, 9.950000000000001]","[3.5681919999999994, 41.702456000000005, 8.44]","[[3.5681919999999994, 42.54012], [6.044079999999999, 42.54012], [6.044079999999999, 41.154168], [3.5681919999999994, 41.154168]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L1_BOILER_A"", ""CAM_GUEST_L1_BOILER_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L1_STAIR_HALL,Service Stair Hall,GUEST,L1,8.4,2.16,circulation,"[1.9151799999999999, 40.381820000000005, 9.950000000000001]","[1.9151799999999999, 41.054, 8.44]","[[1.24504, 41.054], [3.4, 41.054], [3.4, 34.25312], [1.24504, 34.25312]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L1_STAIR_HALL_A"", ""CAM_GUEST_L1_STAIR_HALL_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L1_LOUNGE,Lounge,GUEST,L1,8.4,2.16,lounge,"[6.44848, 38.57616, 9.950000000000001]","[10.81096, 36.67824, 8.44]","[[4.50376, 40.10504], [9.4444, 40.10504], [9.4444, 38.418], [11.284, 38.418], [11.284, 36.67824], [9.4444, 36.67824], [9.4444, 36.09832], [3.97816, 36.09832], [3.97816, 39.52512], [4.50376, 39.52512]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L1_LOUNGE_A"", ""CAM_GUEST_L1_LOUNGE_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L1_GALLERY,Guest room connecting gallery,GUEST,L1,8.4,2.16,circulation,"[11.441680000000002, 39.63056, 9.950000000000001]","[9.54952, 39.36696, 8.44]","[[9.49696, 40.5268], [14.640440000000002, 40.5268], [14.640440000000002, 39.261520000000004], [12.91336, 39.261520000000004], [12.91336, 38.57616], [9.54952, 38.57616]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L1_GALLERY_A"", ""CAM_GUEST_L1_GALLERY_B""]",NOT_ACCEPTED,"Unlabelled open circulation traced between LOUNGE and GUEST ROOM, not an invented enclosed room."
GUEST_L1_BATH,Guest Bath,GUEST,L1,8.4,2.16,bath,"[13.33384, 37.41632, 9.950000000000001]","[12.38776, 38.312560000000005, 8.44]","[[11.494240000000001, 38.312560000000005], [12.70312, 38.312560000000005], [12.70312, 39.05064], [14.430200000000001, 39.05064], [14.430200000000001, 36.40368], [11.494240000000001, 36.40368]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L1_BATH_A"", ""CAM_GUEST_L1_BATH_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L1_GUEST_ROOM,Guest Room,GUEST,L1,8.4,2.16,bedroom,"[17.03562, 38.491600000000005, 9.950000000000001]","[14.58788, 39.63056, 8.44]","[[14.645696000000003, 40.679688], [19.420287999999996, 40.679688], [19.420287999999996, 36.40368], [14.645696000000003, 36.40368]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L1_GUEST_ROOM_A"", ""CAM_GUEST_L1_GUEST_ROOM_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L1_TERRACE,Pool and guest room Terrace,GUEST,L1,8.4,2.16,terrace,"[20.53456, 35.57112, 9.950000000000001]","[10.81096, 35.04392, 8.44]","[[3.45256, 35.94016], [9.75976, 35.94016], [9.75976, 36.187528], [19.64104, 36.187528], [19.64104, 40.5268], [31.20424, 40.5268], [31.7824, 40.10504], [31.7824, 37.3636], [22.95232, 37.3636], [22.95232, 34.464], [3.45256, 34.464]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L1_TERRACE_A"", ""CAM_GUEST_L1_TERRACE_B""]",NOT_ACCEPTED,"Flat terrace census excludes sourceX697+ south ofY417, which belongs to raised pool coping/stairs/planter/water. Original failing point(730.25,443.25) is in pool region; no flat slab added over it. Guest/bath south facade moved to clear printed room dimensions; terrace census follows south exterior face plus trace margin, pool exclusion retained."
GUEST_L1_POOL,Pool,GUEST,L1,8.4,2.16,pool,"[27.998079999999998, 34.885760000000005, 9.9]","[23.6356, 35.99288, 8.44]","[[23.42536, 36.783680000000004], [31.99264, 36.783680000000004], [32.308, 36.25648], [32.308, 33.356880000000004], [31.94008, 32.98784], [23.372799999999998, 32.98784], [23.05744, 33.356880000000004], [23.05744, 36.52008]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L1_POOL_A"", ""CAM_GUEST_L1_POOL_B""]",NOT_ACCEPTED,Nominal surveyed water-plan label 30′1″ × 13′0″. Pool floor/water elevations initially C.
GUEST_B1_LAUNDRY,Laundry Room,GUEST,B1,6.040000000000001,2.18,laundry,"[-0.24766400000000077, 38.787040000000005, 7.590000000000001]","[1.1819680000000004, 40.10504, 6.080000000000001]","[[-2.1188000000000007, 40.863696000000004], [1.1819680000000004, 40.863696000000004], [1.1819680000000004, 37.342512], [-1.7554719999999988, 37.342512], [-1.7554719999999988, 39.518976], [-3.4528719999999997, 39.518976], [-3.4528719999999997, 40.1314]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_B1_LAUNDRY_A"", ""CAM_GUEST_B1_LAUNDRY_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained. Corrected finished-face dimensions and adjacent envelope from sheet1 labels; east stairs and entrance retained. See qa/guest-dimension-fixes.json.
GUEST_B1_BATH,Basement Bath,GUEST,B1,6.040000000000001,2.18,bath,"[-2.6725000000000008, 38.32794, 7.590000000000001]","[-1.9026399999999994, 38.9104048, 6.080000000000001]","[[-3.4460392, 39.3750504], [-1.8989607999999998, 39.3750504], [-1.8989607999999998, 37.3456752], [-3.4460392, 37.3456752]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_B1_BATH_A"", ""CAM_GUEST_B1_BATH_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained. Corrected finished-face dimensions and adjacent envelope from sheet1 labels; east stairs and entrance retained. See qa/guest-dimension-fixes.json.
GUEST_B1_STAIR,Basement Stair,GUEST,B1,6.040000000000001,2.18,circulation,"[1.7942919999999993, 40.15776, 7.590000000000001]","[1.24504, 40.15776, 6.08]","[[1.24504, 37.99624], [2.19112, 37.99624], [2.19112, 39.94688], [2.29624, 39.94688], [2.29624, 40.47408], [1.24504, 40.47408], [1.24504, 40.15776], [1.24504, 39.94688]]",HABS PA-5346-A sheet 1,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_B1_STAIR_A"", ""CAM_GUEST_B1_STAIR_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L2_BEDROOM_SOUTH,Single Room — south,GUEST,L2,10.752675,2.12,bedroom,"[-1.1201600000000007, 38.787040000000005, 12.302675]","[1.0873599999999999, 40.10504, 10.792675]","[[-3.22256, 40.47408], [1.1924799999999998, 40.47408], [1.1924799999999998, 37.258160000000004], [-3.22256, 37.258160000000004]]",HABS PA-5346-A sheet 2,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L2_BEDROOM_SOUTH_A"", ""CAM_GUEST_L2_BEDROOM_SOUTH_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L2_BEDROOM_MIDDLE,Single Room — middle,GUEST,L2,10.752675,2.12,bedroom,"[-1.0676, 42.53016, 12.302675]","[1.0873599999999999, 43.9536, 10.792675]","[[-3.22256, 44.217200000000005], [1.1924799999999998, 44.217200000000005], [1.1924799999999998, 40.89584], [-3.22256, 40.89584]]",HABS PA-5346-A sheet 2,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L2_BEDROOM_MIDDLE_A"", ""CAM_GUEST_L2_BEDROOM_MIDDLE_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L2_BEDROOM_NORTH,Double Room — north,GUEST,L2,10.752675,2.12,bedroom,"[-1.0150400000000004, 46.48416, 12.302675]","[1.1924799999999998, 44.923648, 10.792675]","[[-3.1700000000000004, 48.4348], [1.24504, 48.4348], [1.24504, 44.638960000000004], [-3.1700000000000004, 44.638960000000004]]",HABS PA-5346-A sheet 2,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L2_BEDROOM_NORTH_A"", ""CAM_GUEST_L2_BEDROOM_NORTH_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L2_BATH,Service Bath,GUEST,L2,10.752675,2.12,bath,"[2.45392, 46.74776, 12.302675]","[2.40136, 45.48248, 10.792675]","[[1.5603999999999998, 48.38208], [3.29488, 48.38208], [3.29488, 45.48248], [1.5603999999999998, 45.48248]]",HABS PA-5346-A sheet 2,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L2_BATH_A"", ""CAM_GUEST_L2_BATH_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L2_HALL,Service upstairs Hall,GUEST,L2,10.752675,2.12,circulation,"[2.45392, 42.635600000000004, 12.302675]","[2.945356000000001, 39.208800000000004, 10.792675000000001]","[[1.4027199999999997, 48.592960000000005], [3.45256, 48.592960000000005], [3.45256, 37.226528], [1.4027199999999997, 37.226528]]",HABS PA-5346-A sheet 2,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L2_HALL_A"", ""CAM_GUEST_L2_HALL_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
GUEST_L2_TERRACE,Service upper Terrace,GUEST,L2,10.752675,2.12,terrace,"[-0.17408000000000046, 50.5436, 12.302675]","[-1.2252800000000001, 48.75112, 10.792675]","[[-3.22256, 52.75784], [0.6668799999999999, 54.972080000000005], [3.3474399999999997, 50.75448], [3.3474399999999997, 48.80384], [-3.22256, 48.80384]]",HABS PA-5346-A sheet 2,A/C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_GUEST_L2_TERRACE_A"", ""CAM_GUEST_L2_TERRACE_B""]",NOT_ACCEPTED,Manual HABS trace; openings and graph retained.
