component_id,source,original,original_unit,meters,method,uncertainty_m,source_recorded_uncertainty_m,survey_absolute_accuracy_m,nominal_target_review,model_m,difference_m,evidence,numeric_result,standard_result,tolerance_m,source_precision_exceeds_tolerance,building,feature_category,scene_sha256,mesh_selector_evidence,notes,strict_independent_nominal_anchor,measured_min_m,measured_max_m,max_sampled_abs_error_m,origin_report
GUEST_GUEST_ROOM_LENGTH,HABS PA-5346-A sheet 1 original TIFF,15 ft 9 in,feet/inches,4.8006,Opposed rays to named evaluated structural/lining faces. Drawing XY only seeds rays; ray intersections determine the measurement. Furnishings and decorative ashlar excluded.,0.0254,0.0254,,,4.80059814453125,-1.855468750200373e-06,A; C inferred room-label axis and finished-face interpretation from existing guest audit; not explicit surveyed extension endpoints.,PASS,SOURCE_PRECISION_LIMIT,0.024003,True,GUEST,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,"[{""object"":""GUEST_L1_BATH_EAST_pier_end"",""point_m"":[14.625320434570312,36.94184112548828,8.75],""normal"":[0.9999999403953552,0.0,0.0],""evaluated_face_index"":52,""evaluated_face_vertex_ids"":[14,22,51,42],""ray_origin_m"":[16.8028,36.94184,8.749999618530273],""ray_direction"":[-1,0,0],""ray_distance_m"":2.177478790283203,""selected_objects"":[""GUEST_L1_BATH_EAST_pier_end"",""GUEST_L1_BATH_EAST_pier_end_cork_lining"",""GUEST_L1_BED_EAST_door_head_0"",""GUEST_L1_BED_EAST_jamb_0_a"",""GUEST_L1_BED_EAST_jamb_0_b"",""GUEST_L1_BED_EAST_lintel_0"",""GUEST_L1_BED_EAST_lintel_1"",""GUEST_L1_BED_EAST_pier_0"",""GUEST_L1_BED_EAST_pier_1"",""GUEST_L1_BED_EAST_pier_end"",""GUEST_L1_BED_EAST_sill_1"",""GUEST_L1_BED_EAST_steel_window_1_glass_0"",""GUEST_L1_BED_EAST_steel_window_1_glass_1"",""GUEST_L1_BED_EAST_steel_window_1_head"",""GUEST_L1_BED_EAST_steel_window_1_mullion_0"",""GUEST_L1_BED_EAST_steel_window_1_mullion_1"",""GUEST_L1_BED_EAST_steel_window_1_mullion_2"",""GUEST_L1_BED_EAST_steel_window_1_sill"",""GUEST_L1_BED_EAST_steel_window_1_transom_0"",""GUEST_L1_BED_EAST_steel_window_1_transom_1""]},{""object"":""GUEST_L1_BED_EAST_sill_1"",""point_m"":[19.425918579101562,36.94184112548828,8.75],""normal"":[-1.0,0.0,0.0],""evaluated_face_index"":50,""evaluated_face_vertex_ids"":[2,8,37,29],""ray_origin_m"":[16.8028,36.94184,8.749999618530273],""ray_direction"":[1,0,0],""ray_distance_m"":2.6231191158294678,""selected_objects"":[""GUEST_L1_BATH_EAST_pier_end"",""GUEST_L1_BATH_EAST_pier_end_cork_lining"",""GUEST_L1_BED_EAST_door_head_0"",""GUEST_L1_BED_EAST_jamb_0_a"",""GUEST_L1_BED_EAST_jamb_0_b"",""GUEST_L1_BED_EAST_lintel_0"",""GUEST_L1_BED_EAST_lintel_1"",""GUEST_L1_BED_EAST_pier_0"",""GUEST_L1_BED_EAST_pier_1"",""GUEST_L1_BED_EAST_pier_end"",""GUEST_L1_BED_EAST_sill_1"",""GUEST_L1_BED_EAST_steel_window_1_glass_0"",""GUEST_L1_BED_EAST_steel_window_1_glass_1"",""GUEST_L1_BED_EAST_steel_window_1_head"",""GUEST_L1_BED_EAST_steel_window_1_mullion_0"",""GUEST_L1_BED_EAST_steel_window_1_mullion_1"",""GUEST_L1_BED_EAST_steel_window_1_mullion_2"",""GUEST_L1_BED_EAST_steel_window_1_sill"",""GUEST_L1_BED_EAST_steel_window_1_transom_0"",""GUEST_L1_BED_EAST_steel_window_1_transom_1""]}]",Excluded: not measured or room-label axis/precision remains insufficient,False,4.80059814453125,4.80059814453125,,dimensions12-integration12a-central44.json
GUEST_GUEST_ROOM_DEPTH,HABS PA-5346-A sheet 1 original TIFF,14 ft 1 in,feet/inches,4.2926,Opposed rays to named evaluated structural/lining faces. Drawing XY only seeds rays; ray intersections determine the measurement. Furnishings and decorative ashlar excluded.,0.0254,0.0254,,,4.292598724365234,-1.2756347658182676e-06,A; C inferred room-label axis and finished-face interpretation from existing guest audit; not explicit surveyed extension endpoints.,PASS,SOURCE_PRECISION_LIMIT,0.021463000000000003,True,GUEST,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,"[{""object"":""GUEST_L1_BED_FRONT_sill_0"",""point_m"":[16.802799224853516,36.39324188232422,8.75],""normal"":[0.0,1.0,0.0],""evaluated_face_index"":52,""evaluated_face_vertex_ids"":[14,22,51,42],""ray_origin_m"":[16.8028,38.259840000000004,8.749999618530273],""ray_direction"":[0,-1,0],""ray_distance_m"":1.8665962219238281,""selected_objects"":[""GUEST_L1_BED_FRONT_lintel_0"",""GUEST_L1_BED_FRONT_pier_0"",""GUEST_L1_BED_FRONT_pier_end"",""GUEST_L1_BED_FRONT_sill_0"",""GUEST_L1_BED_FRONT_steel_window_0_glass_0"",""GUEST_L1_BED_FRONT_steel_window_0_glass_1"",""GUEST_L1_BED_FRONT_steel_window_0_glass_2"",""GUEST_L1_BED_FRONT_steel_window_0_glass_3"",""GUEST_L1_BED_FRONT_steel_window_0_glass_4"",""GUEST_L1_BED_FRONT_steel_window_0_glass_5"",""GUEST_L1_BED_FRONT_steel_window_0_head"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_0"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_1"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_2"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_3"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_4"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_5"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_6"",""GUEST_L1_BED_FRONT_steel_window_0_sill"",""GUEST_L1_BED_FRONT_steel_window_0_transom_0"",""GUEST_L1_BED_FRONT_steel_window_0_transom_1"",""GUEST_L1_BED_FRONT_steel_window_0_transom_2"",""GUEST_L1_BED_FRONT_steel_window_0_transom_3"",""GUEST_L1_BED_FRONT_steel_window_0_transom_4"",""GUEST_L1_BED_FRONT_steel_window_0_transom_5"",""GUEST_L1_NORTH_STONE_SPINE_pier_end""]},{""object"":""GUEST_L1_NORTH_STONE_SPINE_pier_end"",""point_m"":[16.802799224853516,40.68584060668945,8.75],""normal"":[0.0,-0.9999999403953552,0.0],""evaluated_face_index"":50,""evaluated_face_vertex_ids"":[2,8,37,29],""ray_origin_m"":[16.8028,38.259840000000004,8.749999618530273],""ray_direction"":[0,1,0],""ray_distance_m"":2.4260025024414062,""selected_objects"":[""GUEST_L1_BED_FRONT_lintel_0"",""GUEST_L1_BED_FRONT_pier_0"",""GUEST_L1_BED_FRONT_pier_end"",""GUEST_L1_BED_FRONT_sill_0"",""GUEST_L1_BED_FRONT_steel_window_0_glass_0"",""GUEST_L1_BED_FRONT_steel_window_0_glass_1"",""GUEST_L1_BED_FRONT_steel_window_0_glass_2"",""GUEST_L1_BED_FRONT_steel_window_0_glass_3"",""GUEST_L1_BED_FRONT_steel_window_0_glass_4"",""GUEST_L1_BED_FRONT_steel_window_0_glass_5"",""GUEST_L1_BED_FRONT_steel_window_0_head"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_0"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_1"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_2"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_3"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_4"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_5"",""GUEST_L1_BED_FRONT_steel_window_0_mullion_6"",""GUEST_L1_BED_FRONT_steel_window_0_sill"",""GUEST_L1_BED_FRONT_steel_window_0_transom_0"",""GUEST_L1_BED_FRONT_steel_window_0_transom_1"",""GUEST_L1_BED_FRONT_steel_window_0_transom_2"",""GUEST_L1_BED_FRONT_steel_window_0_transom_3"",""GUEST_L1_BED_FRONT_steel_window_0_transom_4"",""GUEST_L1_BED_FRONT_steel_window_0_transom_5"",""GUEST_L1_NORTH_STONE_SPINE_pier_end""]}]",Excluded: not measured or room-label axis/precision remains insufficient,False,4.292598724365234,4.292598724365234,,dimensions12-integration12a-central44.json
GUEST_LAUNDRY_LENGTH,HABS PA-5346-A sheet 1 original TIFF,11 ft 7 in,feet/inches,3.5306,Opposed rays to named evaluated structural/lining faces. Drawing XY only seeds rays; ray intersections determine the measurement. Furnishings and decorative ashlar excluded.,0.0254,0.0254,,,3.530597686767578,-2.3132324220576095e-06,A; C inferred room-label axis and finished-face interpretation from existing guest audit; not explicit surveyed extension endpoints.,PASS,SOURCE_PRECISION_LIMIT,0.02,True,GUEST,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,"[{""object"":""GUEST_B1_BASE_SOUTH_sill_0"",""point_m"":[-0.12151999771595001,37.33544158935547,6.539999961853027],""normal"":[0.0,1.0,0.0],""evaluated_face_index"":52,""evaluated_face_vertex_ids"":[14,22,51,42],""ray_origin_m"":[-0.1215200000000003,38.62888,6.539999961853027],""ray_direction"":[0,-1,0],""ray_distance_m"":1.2934379577636719,""selected_objects"":[""GUEST_B1_BASE_NORTH_SPLAY_pier_end"",""GUEST_B1_BASE_NORTH_pier_end"",""GUEST_B1_BASE_SOUTH_lintel_0"",""GUEST_B1_BASE_SOUTH_pier_0"",""GUEST_B1_BASE_SOUTH_pier_0_cork_lining"",""GUEST_B1_BASE_SOUTH_pier_end"",""GUEST_B1_BASE_SOUTH_sill_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_head"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_3"",""GUEST_B1_BASE_SOUTH_steel_window_0_sill"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_2""]},{""object"":""GUEST_B1_BASE_NORTH_pier_end"",""point_m"":[-0.12151999771595001,40.86603927612305,6.539999961853027],""normal"":[0.0,-0.9999999403953552,0.0],""evaluated_face_index"":50,""evaluated_face_vertex_ids"":[2,8,37,29],""ray_origin_m"":[-0.1215200000000003,38.62888,6.539999961853027],""ray_direction"":[0,1,0],""ray_distance_m"":2.237159490585327,""selected_objects"":[""GUEST_B1_BASE_NORTH_SPLAY_pier_end"",""GUEST_B1_BASE_NORTH_pier_end"",""GUEST_B1_BASE_SOUTH_lintel_0"",""GUEST_B1_BASE_SOUTH_pier_0"",""GUEST_B1_BASE_SOUTH_pier_0_cork_lining"",""GUEST_B1_BASE_SOUTH_pier_end"",""GUEST_B1_BASE_SOUTH_sill_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_head"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_3"",""GUEST_B1_BASE_SOUTH_steel_window_0_sill"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_2""]}]",Excluded: not measured or room-label axis/precision remains insufficient,False,3.530597686767578,3.530597686767578,,dimensions12-integration12a-central44.json
GUEST_LAUNDRY_DEPTH,HABS PA-5346-A sheet 1 original TIFF,9 ft 8 in,feet/inches,2.9464,Opposed rays to named evaluated structural/lining faces. Drawing XY only seeds rays; ray intersections determine the measurement. Furnishings and decorative ashlar excluded.,0.0254,0.0254,,,2.9464000463485718,4.634857164731443e-08,A; C inferred room-label axis and finished-face interpretation from existing guest audit; not explicit surveyed extension endpoints.,PASS,SOURCE_PRECISION_LIMIT,0.02,True,GUEST,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,"[{""object"":""GUEST_B1_BASE_BATH_EAST_pier_end"",""point_m"":[-1.7588000297546387,37.943519592285156,6.539999961853027],""normal"":[1.0,-8.745271884436079e-08,0.0],""evaluated_face_index"":52,""evaluated_face_vertex_ids"":[14,22,51,42],""ray_origin_m"":[-0.27920000000000034,37.94352,6.539999961853027],""ray_direction"":[-1,0,0],""ray_distance_m"":1.4796000719070435,""selected_objects"":[""GUEST_B1_BASE_BATH_EAST_door_head_0"",""GUEST_B1_BASE_BATH_EAST_handle_0"",""GUEST_B1_BASE_BATH_EAST_jamb_0_a"",""GUEST_B1_BASE_BATH_EAST_jamb_0_b"",""GUEST_B1_BASE_BATH_EAST_lintel_0"",""GUEST_B1_BASE_BATH_EAST_lintel_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_open_leaf_0"",""GUEST_B1_BASE_BATH_EAST_pier_0"",""GUEST_B1_BASE_BATH_EAST_pier_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_pier_end"",""GUEST_B1_BASE_BATH_EAST_pier_end_cork_lining"",""GUEST_B1_BASE_EAST_door_head_0"",""GUEST_B1_BASE_EAST_handle_0"",""GUEST_B1_BASE_EAST_jamb_0_a"",""GUEST_B1_BASE_EAST_jamb_0_b"",""GUEST_B1_BASE_EAST_lintel_0"",""GUEST_B1_BASE_EAST_open_leaf_0"",""GUEST_B1_BASE_EAST_pier_0"",""GUEST_B1_BASE_EAST_pier_end""]},{""object"":""GUEST_B1_BASE_EAST_pier_end"",""point_m"":[1.187600016593933,37.943519592285156,6.539999961853027],""normal"":[-1.0,4.542389575590278e-08,0.0],""evaluated_face_index"":50,""evaluated_face_vertex_ids"":[2,8,37,29],""ray_origin_m"":[-0.27920000000000034,37.94352,6.539999961853027],""ray_direction"":[1,0,0],""ray_distance_m"":1.4667999744415283,""selected_objects"":[""GUEST_B1_BASE_BATH_EAST_door_head_0"",""GUEST_B1_BASE_BATH_EAST_handle_0"",""GUEST_B1_BASE_BATH_EAST_jamb_0_a"",""GUEST_B1_BASE_BATH_EAST_jamb_0_b"",""GUEST_B1_BASE_BATH_EAST_lintel_0"",""GUEST_B1_BASE_BATH_EAST_lintel_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_open_leaf_0"",""GUEST_B1_BASE_BATH_EAST_pier_0"",""GUEST_B1_BASE_BATH_EAST_pier_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_pier_end"",""GUEST_B1_BASE_BATH_EAST_pier_end_cork_lining"",""GUEST_B1_BASE_EAST_door_head_0"",""GUEST_B1_BASE_EAST_handle_0"",""GUEST_B1_BASE_EAST_jamb_0_a"",""GUEST_B1_BASE_EAST_jamb_0_b"",""GUEST_B1_BASE_EAST_lintel_0"",""GUEST_B1_BASE_EAST_open_leaf_0"",""GUEST_B1_BASE_EAST_pier_0"",""GUEST_B1_BASE_EAST_pier_end""]}]",Excluded: not measured or room-label axis/precision remains insufficient,False,2.9464000463485718,2.9464000463485718,,dimensions12-integration12a-central44.json
GUEST_BASE_BATH_LENGTH,HABS PA-5346-A sheet 1 original TIFF,6 ft 8 in,feet/inches,2.032,Opposed rays to named evaluated structural/lining faces. Drawing XY only seeds rays; ray intersections determine the measurement. Furnishings and decorative ashlar excluded.,0.0254,0.0254,,,2.0319976806640625,-2.3193359375284217e-06,A; C inferred room-label axis and finished-face interpretation from existing guest audit; not explicit surveyed extension endpoints.,PASS,SOURCE_PRECISION_LIMIT,0.02,True,GUEST,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,"[{""object"":""GUEST_B1_BASE_SOUTH_pier_0_cork_lining"",""point_m"":[-2.329040050506592,37.34444046020508,6.539999961853027],""normal"":[0.0,1.0,0.0],""evaluated_face_index"":52,""evaluated_face_vertex_ids"":[14,22,51,42],""ray_origin_m"":[-2.3290400000000004,38.259840000000004,6.539999961853027],""ray_direction"":[0,-1,0],""ray_distance_m"":0.9153977036476135,""selected_objects"":[""GUEST_B1_BASE_BATH_NORTH_pier_end"",""GUEST_B1_BASE_BATH_NORTH_pier_end_cork_lining"",""GUEST_B1_BASE_SOUTH_lintel_0"",""GUEST_B1_BASE_SOUTH_pier_0"",""GUEST_B1_BASE_SOUTH_pier_0_cork_lining"",""GUEST_B1_BASE_SOUTH_pier_end"",""GUEST_B1_BASE_SOUTH_sill_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_head"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_3"",""GUEST_B1_BASE_SOUTH_steel_window_0_sill"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_2""]},{""object"":""GUEST_B1_BASE_BATH_NORTH_pier_end_cork_lining"",""point_m"":[-2.329040050506592,39.37643814086914,6.539999961853027],""normal"":[0.0,-1.0,0.0],""evaluated_face_index"":50,""evaluated_face_vertex_ids"":[2,8,37,29],""ray_origin_m"":[-2.3290400000000004,38.259840000000004,6.539999961853027],""ray_direction"":[0,1,0],""ray_distance_m"":1.1166001558303833,""selected_objects"":[""GUEST_B1_BASE_BATH_NORTH_pier_end"",""GUEST_B1_BASE_BATH_NORTH_pier_end_cork_lining"",""GUEST_B1_BASE_SOUTH_lintel_0"",""GUEST_B1_BASE_SOUTH_pier_0"",""GUEST_B1_BASE_SOUTH_pier_0_cork_lining"",""GUEST_B1_BASE_SOUTH_pier_end"",""GUEST_B1_BASE_SOUTH_sill_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_head"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_3"",""GUEST_B1_BASE_SOUTH_steel_window_0_sill"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_2""]}]",Excluded: not measured or room-label axis/precision remains insufficient,False,2.0319976806640625,2.0319976806640625,,dimensions12-integration12a-central44.json
GUEST_BASE_BATH_WIDTH,HABS PA-5346-A sheet 1 original TIFF,5 ft 1 in,feet/inches,1.5494,Opposed rays to named evaluated structural/lining faces. Drawing XY only seeds rays; ray intersections determine the measurement. Furnishings and decorative ashlar excluded.,0.0254,0.0254,,,1.5493998527526855,-1.472473145636144e-07,A; C inferred room-label axis and finished-face interpretation from existing guest audit; not explicit surveyed extension endpoints.,PASS,SOURCE_PRECISION_LIMIT,0.02,True,GUEST,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,"[{""object"":""GUEST_B1_BASE_BATH_WEST_pier_end_cork_lining"",""point_m"":[-3.447199821472168,38.0489616394043,6.539999961853027],""normal"":[1.0,0.0,0.0],""evaluated_face_index"":52,""evaluated_face_vertex_ids"":[14,22,51,42],""ray_origin_m"":[-2.3290400000000004,38.04896,6.539999961853027],""ray_direction"":[-1,0,0],""ray_distance_m"":1.1181598901748657,""selected_objects"":[""GUEST_B1_BASE_BATH_EAST_door_head_0"",""GUEST_B1_BASE_BATH_EAST_handle_0"",""GUEST_B1_BASE_BATH_EAST_jamb_0_a"",""GUEST_B1_BASE_BATH_EAST_jamb_0_b"",""GUEST_B1_BASE_BATH_EAST_lintel_0"",""GUEST_B1_BASE_BATH_EAST_lintel_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_open_leaf_0"",""GUEST_B1_BASE_BATH_EAST_pier_0"",""GUEST_B1_BASE_BATH_EAST_pier_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_pier_end"",""GUEST_B1_BASE_BATH_EAST_pier_end_cork_lining"",""GUEST_B1_BASE_BATH_WEST_pier_end"",""GUEST_B1_BASE_BATH_WEST_pier_end_cork_lining""]},{""object"":""GUEST_B1_BASE_BATH_EAST_pier_end_cork_lining"",""point_m"":[-1.8977999687194824,38.0489616394043,6.539999961853027],""normal"":[-1.0,0.0,0.0],""evaluated_face_index"":50,""evaluated_face_vertex_ids"":[2,8,37,29],""ray_origin_m"":[-2.3290400000000004,38.04896,6.539999961853027],""ray_direction"":[1,0,0],""ray_distance_m"":0.431240051984787,""selected_objects"":[""GUEST_B1_BASE_BATH_EAST_door_head_0"",""GUEST_B1_BASE_BATH_EAST_handle_0"",""GUEST_B1_BASE_BATH_EAST_jamb_0_a"",""GUEST_B1_BASE_BATH_EAST_jamb_0_b"",""GUEST_B1_BASE_BATH_EAST_lintel_0"",""GUEST_B1_BASE_BATH_EAST_lintel_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_open_leaf_0"",""GUEST_B1_BASE_BATH_EAST_pier_0"",""GUEST_B1_BASE_BATH_EAST_pier_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_pier_end"",""GUEST_B1_BASE_BATH_EAST_pier_end_cork_lining"",""GUEST_B1_BASE_BATH_WEST_pier_end"",""GUEST_B1_BASE_BATH_WEST_pier_end_cork_lining""]}]",Excluded: not measured or room-label axis/precision remains insufficient,False,1.5493998527526855,1.5493998527526855,,dimensions12-integration12a-central44.json
GUEST_SERVICE_Y_CHAIN,HABS PA-5346-A sheet 1 original TIFF,50 ft 10.25 in,feet/inches,15.50035,,0.0127,0.0127,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.07750175,False,GUEST,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],NOT_RUN: Printed50′10¼ vertical witness line starts at an angled service-wall projection. Mapping that witness to a specific inner/outer finished vertex is unresolved. Full-scene presence alone does not establish source endpoint identity.,False,,,,dimensions12-integration12a-central44.json
GUEST_POOL_OUTER_WIDTH,HABS PA-5346-A sheet 1 original TIFF,31 ft 6.625 in,feet/inches,9.617075,"Actual outer coping ring X extrema, matched to printed pool exterior horizontal chain.",0.0127,0.0127,,,9.617074966430664,-3.356933575560106e-08,"A; C source-to-mesh correspondence, unless noted",PASS,PASS,0.048085375,False,GUEST,pool,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,"[{""object"":""GUEST_POOL_coping_17"",""axis"":""X"",""side"":""min"",""coordinate_m"":22.97930335998535,""point_m"":[22.97930335998535,33.53364181518555,9.034850120544434],""evaluated_vertex_ids"":[0,2,5,6],""representative_vertex_id"":0,""selected_objects"":[""GUEST_POOL_coping_00"",""GUEST_POOL_coping_01"",""GUEST_POOL_coping_02"",""GUEST_POOL_coping_03"",""GUEST_POOL_coping_04"",""GUEST_POOL_coping_05"",""GUEST_POOL_coping_06"",""GUEST_POOL_coping_07"",""GUEST_POOL_coping_08"",""GUEST_POOL_coping_09"",""GUEST_POOL_coping_10"",""GUEST_POOL_coping_11"",""GUEST_POOL_coping_12"",""GUEST_POOL_coping_17"",""GUEST_POOL_coping_18"",""GUEST_POOL_coping_19"",""GUEST_POOL_coping_20"",""GUEST_POOL_coping_21"",""GUEST_POOL_coping_22"",""GUEST_POOL_coping_23"",""GUEST_POOL_coping_24"",""GUEST_POOL_coping_25"",""GUEST_POOL_coping_26"",""GUEST_POOL_coping_27"",""GUEST_POOL_coping_28"",""GUEST_POOL_coping_29"",""GUEST_POOL_coping_30"",""GUEST_POOL_coping_31"",""GUEST_POOL_coping_32"",""GUEST_POOL_coping_33"",""GUEST_POOL_coping_34"",""GUEST_POOL_coping_35""]},{""object"":""GUEST_POOL_coping_00"",""axis"":""X"",""side"":""max"",""coordinate_m"":32.596378326416016,""point_m"":[32.596378326416016,36.39604187011719,9.034850120544434],""evaluated_vertex_ids"":[0,4],""representative_vertex_id"":0,""selected_objects"":[""GUEST_POOL_coping_00"",""GUEST_POOL_coping_01"",""GUEST_POOL_coping_02"",""GUEST_POOL_coping_03"",""GUEST_POOL_coping_04"",""GUEST_POOL_coping_05"",""GUEST_POOL_coping_06"",""GUEST_POOL_coping_07"",""GUEST_POOL_coping_08"",""GUEST_POOL_coping_09"",""GUEST_POOL_coping_10"",""GUEST_POOL_coping_11"",""GUEST_POOL_coping_12"",""GUEST_POOL_coping_17"",""GUEST_POOL_coping_18"",""GUEST_POOL_coping_19"",""GUEST_POOL_coping_20"",""GUEST_POOL_coping_21"",""GUEST_POOL_coping_22"",""GUEST_POOL_coping_23"",""GUEST_POOL_coping_24"",""GUEST_POOL_coping_25"",""GUEST_POOL_coping_26"",""GUEST_POOL_coping_27"",""GUEST_POOL_coping_28"",""GUEST_POOL_coping_29"",""GUEST_POOL_coping_30"",""GUEST_POOL_coping_31"",""GUEST_POOL_coping_32"",""GUEST_POOL_coping_33"",""GUEST_POOL_coping_34"",""GUEST_POOL_coping_35""]}]",Existing individually reviewed source anchor,True,9.617074966430664,9.617074966430664,,dimensions12-integration12a-central44.json
GUEST_THEATER_NORTH_RISE,HABS PA-5346-A sheet 1 original TIFF,14 ft 5.625 in,feet/inches,4.410075,,0.0127,0.0127,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.022050375,False,GUEST,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],NOT_RUN: Printed14′5⅝ north angled-wall projected rise lacks established inner/outer vertex identity in the current traced mesh. Do not substitute whole object boundingbox. Full-scene presence alone does not establish source endpoint identity.,False,,,,dimensions12-integration12a-central44.json
GUEST_THEATER_EAST_SEGMENT,HABS PA-5346-A sheet 1 original TIFF,12 ft 8.75 in,feet/inches,3.87985,,0.0127,0.0127,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,False,GUEST,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],"NOT_RUN: Printed12′8¾ is a partial east-wall interval terminating at a projection line; no named mesh vertex fixes that witness endpoint, so whole east-wall length is not equivalent. Full-scene presence alone does not establish source endpoint identity.",False,,,,dimensions12-integration12a-central44.json
